Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_01015,-0.43,3.25E-02,no,-0.03,9.98E-01,no,-0.47,2.26E-02,no,-0.07,8.37E-01,no,-0.50,1.65E-02,no,TM7x_01015,190951,192228,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00207,AJA06748.1,hypothetical protein,fig|1476577.3.peg.183,hypothetical protein,,Belongs to the peptidase M16 family,pepR,,,,,,,S: Function Unknown,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",TM7x_01015
TM7x_01020,0.24,7.17E-02,no,-0.04,9.66E-01,no,0.20,1.24E-01,no,-0.04,8.68E-01,no,0.20,1.20E-01,no,TM7x_01020,192265,193509,forward,murD UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9],K01925,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00208,AJA06749.1,hypothetical protein,fig|1476577.3.peg.184,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9),,Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA),murD,6.3.2.9,K01925,"ko00471,ko00550,ko01100,map00471,map00550,map01100",,R02783,"RC00064,RC00141",M: Cell wall/membrane/envelop biogenesis,,TM7x_01020
TM7x_01025,0.20,2.47E-01,no,0.01,9.98E-01,no,0.21,2.29E-01,no,0.03,9.35E-01,no,0.23,1.81E-01,no,TM7x_01025,193506,194045,reverse,hypoxanthine phosphoribosyltransferase,K00760,F: Nucleotide metabolism and transport,,TM7x001_00209,AJA06370.1,hypoxanthine phosphoribosyltransferase,fig|1476577.3.peg.185,Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8),Metabolism,Belongs to the purine pyrimidine phosphoribosyltransferase family,hpt,"2.4.2.8,6.3.4.19",K00760,"ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110",,"R00190,R01132,R01229,R02142,R08237,R08238,R08245","RC00063,RC00122",F: Nucleotide metabolism and transport,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",TM7x_01025
TM7x_01030,-0.47,1.63E-02,no,-0.03,9.98E-01,no,-0.50,1.13E-02,initial,0.18,3.17E-01,no,-0.30,1.03E-01,no,TM7x_01030,194088,195188,forward,peptide chain release factor 2,K02836,J: Translation,,TM7x001_00210,AJA06371.1,peptide chain release factor 2,fig|1476577.3.peg.186,Peptide chain release factor 1,Protein Processing,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA,prfB,,K02836,,,,,J: Translation,"GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016149,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",TM7x_01030
TM7x_01035,0.19,1.44E-01,no,0.03,9.98E-01,no,0.22,8.98E-02,no,0.05,8.31E-01,no,0.24,7.64E-02,no,TM7x_01035,195209,195892,forward,hypothetical protein,K09811,D: Cell cycle control and mitosis,,TM7x001_00211,AJA06372.1,hypothetical protein,fig|1476577.3.peg.187,"Cell-division-associated, ABC-transporter-like signaling protein FtsE",,cell division ATP-binding protein FtsE,ftsE,,K09811,"ko02010,map02010",M00256,,,D: Cell cycle control and mitosis,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008144,GO:0008150,GO:0009898,GO:0009987,GO:0016020,GO:0017076,GO:0019897,GO:0019898,GO:0030554,GO:0031234,GO:0032153,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0046677,GO:0050896,GO:0051301,GO:0071944,GO:0097159,GO:0097367,GO:0098552,GO:0098562,GO:1901265,GO:1901363",TM7x_01035
TM7x_01040,0.38,7.43E-03,no,-0.02,9.98E-01,no,0.36,9.80E-03,no,0.03,9.14E-01,no,0.40,4.74E-03,no,TM7x_01040,195892,196875,forward,hypothetical protein,K09811,D: Cell cycle control and mitosis,other,TM7x001_00212,AJA06750.1,hypothetical protein,fig|1476577.3.peg.188,hypothetical protein,,Part of the ABC transporter FtsEX involved in asymmetric cellular division facilitating the initiation of sporulation,ftsX,,K09811,"ko02010,map02010",M00256,,,D: Cell cycle control and mitosis,"GO:0000910,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008356,GO:0009966,GO:0009987,GO:0010033,GO:0010646,GO:0016020,GO:0016021,GO:0016043,GO:0019221,GO:0022402,GO:0022603,GO:0022607,GO:0023051,GO:0023052,GO:0030312,GO:0031224,GO:0031226,GO:0032506,GO:0034097,GO:0040007,GO:0042173,GO:0042221,GO:0043937,GO:0043938,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0045595,GO:0045597,GO:0045881,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051301,GO:0051716,GO:0065007,GO:0070098,GO:0070297,GO:0070887,GO:0071310,GO:0071345,GO:0071840,GO:0071944,GO:0090529,GO:1902531",TM7x_01040
TM7x_01045,0.47,4.82E-03,no,0.02,9.98E-01,no,0.48,3.85E-03,no,-0.11,5.32E-01,no,0.36,2.21E-02,no,TM7x_01045,196919,198055,forward,hypothetical protein,K21471,V: Defense mechanisms,,TM7x001_00213,AJA06751.1,hypothetical protein,fig|1476577.3.peg.189,hypothetical protein,,CHAP domain,,,K21471,,,,,V: Defense mechanisms,,TM7x_01045
TM7x_01050,-0.35,1.45E-02,no,-0.05,9.54E-01,no,-0.40,6.99E-03,no,0.03,9.14E-01,no,-0.32,2.33E-02,no,TM7x_01050,198123,199298,forward,peptidase S41,K03797,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00214,AJA06373.1,peptidase S41,fig|1476577.3.peg.190,Carboxyl-terminal protease (EC 3.4.21.102),,Belongs to the peptidase S41A family,ctpA,3.4.21.102,K03797,,,,,M: Cell wall/membrane/envelop biogenesis,"GO:0003674,GO:0003824,GO:0004175,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006508,GO:0006518,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008233,GO:0009653,GO:0009987,GO:0016787,GO:0019538,GO:0023052,GO:0030154,GO:0030288,GO:0030313,GO:0030435,GO:0031975,GO:0032502,GO:0033218,GO:0034641,GO:0042277,GO:0042597,GO:0042802,GO:0042803,GO:0043170,GO:0043603,GO:0043900,GO:0043902,GO:0043934,GO:0044237,GO:0044238,GO:0044464,GO:0046983,GO:0048518,GO:0048522,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070011,GO:0071704,GO:0140096,GO:1900190,GO:1900192,GO:1901564",TM7x_01050
TM7x_01055,-0.66,9.09E-03,initial,0.24,4.11E-01,no,-0.42,6.85E-02,no,0.36,7.60E-02,no,-0.30,1.75E-01,no,TM7x_01055,199340,199723,forward,chemotaxis protein CheY,K07315,T: Signal Transduction,,TM7x001_00215,AJA06374.1,chemotaxis protein CheY,fig|1476577.3.peg.191,Copper-sensing two-component system response regulator CpxR,,PhoQ Sensor,,3.1.3.3,K07315,,,,,T: Signal Transduction,,TM7x_01055
TM7x_01060,-1.06,1.16E-05,initial,0.26,1.26E-01,no,-0.80,1.06E-04,initial,0.20,1.30E-01,no,-0.86,6.35E-05,initial,TM7x_01060,199805,200041,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00216,AJA06752.1,hypothetical protein,fig|1476577.3.peg.192,hypothetical protein,,,,,,,,,,,,TM7x_01060
TM7x_01065,-0.71,2.96E-04,initial,-0.02,9.98E-01,no,-0.73,2.32E-04,initial,-0.14,3.17E-01,no,-0.84,7.44E-05,initial,TM7x_01065,200044,200346,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00217,AJA06753.1,hypothetical protein,fig|1476577.3.peg.193,hypothetical protein,,,,,,,,,,,,TM7x_01065
TM7x_01070,-1.06,1.62E-04,initial,-0.17,5.84E-01,no,-1.23,4.93E-05,initial,-0.14,5.34E-01,no,-1.20,6.36E-05,initial,TM7x_01070,200368,201318,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00218,AJA06754.1,hypothetical protein,fig|1476577.3.peg.194,hypothetical protein,,,,,,,,,,,,TM7x_01070
TM7x_01075,-1.51,7.20E-06,initial,-0.22,4.12E-01,no,-1.73,2.36E-06,initial,-0.03,9.74E-01,no,-1.53,5.74E-06,initial,TM7x_01075,201326,201949,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00219,AJA06755.1,hypothetical protein,fig|1476577.3.peg.195,hypothetical protein,,,,,,,,,,,,TM7x_01075
TM7x_01080,-0.29,1.46E-01,no,0.04,9.98E-01,no,-0.26,2.02E-01,no,0.07,8.51E-01,no,-0.23,2.56E-01,no,TM7x_01080,201998,202270,reverse,50S ribosomal protein L27,K02899,J: Translation,,TM7x001_00220,AJA06375.1,50S ribosomal protein L27,fig|1476577.3.peg.196,LSU ribosomal protein L27p,Protein Processing,Belongs to the bacterial ribosomal protein bL27 family,rpmA,,K02899,"ko03010,map03010",M00178,,,J: Translation,"GO:0000027,GO:0001558,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0040008,GO:0042254,GO:0042255,GO:0042256,GO:0042273,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0044877,GO:0048518,GO:0050789,GO:0050794,GO:0051128,GO:0065003,GO:0065007,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0090069,GO:0090070,GO:1901564,GO:1901566,GO:1901576,GO:1902626,GO:1990904",TM7x_01080
TM7x_01085,0.97,2.23E-01,no,0.05,9.98E-01,no,1.02,1.98E-01,no,0.01,9.97E-01,no,0.98,2.21E-01,no,TM7x_01085,202334,203527,reverse,hypothetical protein,K07446,L: Replication and repair,,TM7x001_00221,AJA06756.1,hypothetical protein,fig|1476577.3.peg.197,hypothetical protein,,Putative RNA methylase family UPF0020,trmG10,2.1.1.213,K07446,,,,,L: Replication and repair,,TM7x_01085
TM7x_01090,-0.73,4.97E-01,no,-0.05,9.98E-01,no,-0.78,4.65E-01,no,0.25,9.11E-01,no,-0.47,6.61E-01,no,TM7x_01090,203566,204633,forward,UPF0104 membrane protein MTH_1261,K07027,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00222,AJA06757.1,hypothetical protein,fig|1476577.3.peg.198,UPF0104 membrane protein MTH_1261,,lysyltransferase activity,mprF,2.3.2.3,K07027,"ko01503,ko02020,ko05150,map01503,map02020,map05150",M00726,,,M: Cell wall/membrane/envelop biogenesis,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",TM7x_01090
TM7x_01095,-0.45,7.02E-02,no,0.02,9.98E-01,no,-0.42,8.34E-02,no,0.35,1.09E-01,no,-0.10,6.72E-01,no,TM7x_01095,204617,205717,forward,exodeoxyribonuclease VII large subunit,K03601,L: Replication and repair,,TM7x001_00223,AJA06376.1,exodeoxyribonuclease VII large subunit,fig|1476577.3.peg.199,Exodeoxyribonuclease VII large subunit (EC 3.1.11.6),,"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides",xseA,3.1.11.6,K03601,"ko03430,map03430",,,,L: Replication and repair,,TM7x_01095
TM7x_01100,0.13,6.00E-01,no,0.05,9.98E-01,no,0.18,4.66E-01,no,0.28,2.56E-01,no,0.41,9.92E-02,no,TM7x_01100,205695,205895,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00224,AJA06758.1,hypothetical protein,fig|1476577.3.peg.200,hypothetical protein,,,,,,,,,,,,TM7x_01100
TM7x_01105,0.77,3.55E-03,recovery,0.27,2.54E-01,no,1.04,4.12E-04,recovery,0.28,1.25E-01,no,1.05,4.00E-04,recovery,TM7x_01105,205937,206596,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00225,AJA06759.1,hypothetical protein,fig|1476577.3.peg.202,hypothetical protein,,,,,,,,,,,,TM7x_01105
TM7x_01110,-0.15,4.35E-01,no,-0.03,9.98E-01,no,-0.18,3.46E-01,no,0.10,6.84E-01,no,-0.05,7.79E-01,no,TM7x_01110,206632,207348,forward,hypothetical protein,K11383,T: Signal Transduction,,TM7x001_00226,AJA06760.1,hypothetical protein,fig|1476577.3.peg.203,hypothetical protein,,HAMP domain,kinB,2.7.13.3,K11383,"ko02020,map02020",M00505,,,T: Signal Transduction,,TM7x_01110
TM7x_01115,-0.44,3.23E-01,no,-0.24,8.39E-01,no,-0.68,1.32E-01,no,0.08,9.46E-01,no,-0.36,4.14E-01,no,TM7x_01115,207345,207713,forward,hypothetical protein,K03407,T: Signal Transduction,,TM7x001_00227,AJA06761.1,hypothetical protein,fig|1476577.3.peg.204,hypothetical protein,,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",,2.7.13.3,K03407,"ko02020,ko02030,map02020,map02030",M00506,,,T: Signal Transduction,,TM7x_01115
TM7x_01120,-0.15,6.00E-01,no,-0.20,7.02E-01,no,-0.35,2.15E-01,no,0.14,6.81E-01,no,0.00,9.90E-01,no,TM7x_01120,207700,208377,forward,DNA repair protein RecO,K03584,L: Replication and repair,,TM7x001_00228,AJA06377.1,DNA repair protein RecO,fig|1476577.3.peg.205,DNA recombination and repair protein RecO,,Involved in DNA repair and RecF pathway recombination,recO,,K03584,"ko03440,map03440",,,,L: Replication and repair,"GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360",TM7x_01120
TM7x_01130,-0.31,5.88E-02,no,0.11,6.78E-01,no,-0.20,2.09E-01,no,0.35,1.85E-02,no,0.04,8.16E-01,no,TM7x_01130,210048,210665,forward,hypothetical protein,,K: Transcription,,TM7x001_00230,AJA06378.1,hypothetical protein,fig|1476577.3.peg.207,FIG01197404: hypothetical protein,,"Psort location Cytoplasmic, score",,,,,,,,K: Transcription,,TM7x_01130
TM7x_01135,-0.36,9.48E-02,no,0.07,9.64E-01,no,-0.29,1.65E-01,no,0.27,1.46E-01,no,-0.09,6.73E-01,no,TM7x_01135,210785,211267,forward,ADP-ribose pyrophosphatase,K03574,F: Nucleotide metabolism and transport,,TM7x001_00231,AJA06379.1,ADP-ribose pyrophosphatase,fig|1476577.3.peg.208,hypothetical protein,,GDP-mannose mannosyl hydrolase activity,,3.6.1.55,K03574,,,,,F: Nucleotide metabolism and transport,,TM7x_01135
TM7x_01140,-1.57,7.20E-06,initial,0.02,9.98E-01,no,-1.56,7.02E-06,initial,0.40,4.74E-02,no,-1.17,6.51E-05,initial,TM7x_01140,211318,211905,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00232,AJA06762.1,hypothetical protein,fig|1476577.3.peg.209,hypothetical protein,,,,,,,,,,,,TM7x_01140
TM7x_01145,-1.50,2.04E-06,initial,0.02,9.98E-01,no,-1.48,2.22E-06,initial,0.36,2.92E-02,no,-1.14,1.64E-05,initial,TM7x_01145,211927,212415,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00233,AJA06763.1,hypothetical protein,fig|1476577.3.peg.210,hypothetical protein,,,,,,,,,,,,TM7x_01145
TM7x_01150,-0.52,3.49E-02,initial,-0.08,9.69E-01,no,-0.60,1.81E-02,initial,0.16,5.43E-01,no,-0.36,1.26E-01,no,TM7x_01150,212440,213108,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00234,AJA06764.1,hypothetical protein,fig|1476577.3.peg.211,hypothetical protein,,Enoyl-(Acyl carrier protein) reductase,,,,,,,,S: Function Unknown,,TM7x_01150
TM7x_01155,-0.62,3.92E-03,initial,-0.12,8.43E-01,no,-0.74,1.27E-03,initial,0.09,7.84E-01,no,-0.54,9.27E-03,initial,TM7x_01155,213136,214155,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00235,AJA06380.1,hypothetical protein,fig|1476577.3.peg.212,"FIG002813: LPPG:FO 2-phospho-L-lactate transferase like, CofD-like",,"phosphotransferase activity, for other substituted phosphate groups",ybhK,,,,,,,S: Function Unknown,,TM7x_01155
TM7x_01160,-0.90,5.33E-06,initial,-0.09,7.63E-01,no,-0.99,2.36E-06,initial,0.00,9.95E-01,no,-0.90,5.07E-06,initial,TM7x_01160,214202,215887,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00236,AJA06765.1,hypothetical protein,fig|1476577.3.peg.213,hypothetical protein,,,,,,,,,,,,TM7x_01160
TM7x_01165,-1.43,7.20E-06,initial,-0.09,9.26E-01,no,-1.52,4.39E-06,initial,0.13,6.00E-01,no,-1.30,1.48E-05,initial,TM7x_01165,215905,216330,forward,ribonuclease H,K03469,L: Replication and repair,,TM7x001_00237,AJA06381.1,ribonuclease H,fig|1476577.3.peg.214,Ribonuclease HI ,,RNase H,rnhA,3.1.26.4,K03469,"ko03030,map03030",,,,L: Replication and repair,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576",TM7x_01165
TM7x_01170,-1.43,3.96E-06,initial,-0.01,9.98E-01,no,-1.44,3.32E-06,initial,0.25,1.89E-01,no,-1.19,1.53E-05,initial,TM7x_01170,216370,217347,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00238,AJA06766.1,hypothetical protein,fig|1476577.3.peg.215,hypothetical protein,,,,,,,,,,,,TM7x_01170
TM7x_01175,-1.88,3.91E-04,initial,-0.19,9.54E-01,no,-2.06,1.91E-04,initial,0.06,9.77E-01,no,-1.82,4.72E-04,initial,TM7x_01175,217350,218864,forward,ATP-dependent endonuclease,K15255,L: Replication and repair,,TM7x001_00239,AJA06382.1,ATP-dependent endonuclease,fig|1476577.3.peg.216,Putative helicase,,PIF1-like helicase,recD2,3.6.4.12,K15255,,,,,L: Replication and repair,,TM7x_01175
TM7x_01180,2.39,4.04E-05,recovery,-0.12,9.54E-01,no,2.27,6.00E-05,recovery,-0.28,3.86E-01,no,2.10,1.12E-04,recovery,TM7x_01180,219077,219445,forward,cell division protein MraZ,K03925,K: Transcription,,TM7x001_00240,AJA06383.1,cell division protein MraZ,fig|1476577.3.peg.217,Cell division protein MraZ,,Belongs to the MraZ family,mraZ,,K03925,,,,,K: Transcription,"GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031333,GO:0040007,GO:0043254,GO:0043565,GO:0044087,GO:0044212,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2000142,GO:2000143,GO:2001141",TM7x_01180
TM7x_01185,1.77,8.17E-07,recovery,-0.14,6.78E-01,no,1.64,1.53E-06,recovery,-0.19,2.70E-01,no,1.58,1.91E-06,recovery,TM7x_01185,219737,220657,forward,16S rRNA methyltransferase,K03438,J: Translation,,TM7x001_00241,AJA06384.1,16S rRNA methyltransferase,fig|1476577.3.peg.218,16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199),,Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA,rsmH,2.1.1.199,K03438,,,,,J: Translation,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071424,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",TM7x_01185
TM7x_01190,2.59,8.56E-09,recovery,0.01,9.98E-01,no,2.60,7.97E-09,recovery,0.04,8.47E-01,no,2.63,9.03E-09,recovery,TM7x_01190,220856,221197,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00242,AJA06767.1,hypothetical protein,fig|1476577.3.peg.219,hypothetical protein,,,,,,,,,,,,TM7x_01190
TM7x_01195,1.33,1.61E-06,recovery,-0.07,8.28E-01,no,1.26,2.36E-06,recovery,-0.02,9.44E-01,no,1.31,1.80E-06,recovery,TM7x_01195,221220,222968,forward,Cell division protein FtsI [Peptidoglycan synthetase] ,K03587,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00243,AJA06768.1,hypothetical protein,fig|1476577.3.peg.220,Cell division protein FtsI [Peptidoglycan synthetase] ,,Penicillin-binding Protein dimerisation domain,ftsI,3.4.16.4,K03587,"ko00550,ko01501,map00550,map01501",,,,M: Cell wall/membrane/envelop biogenesis,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0008144,GO:0008150,GO:0008658,GO:0008955,GO:0009987,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016758,GO:0031224,GO:0031226,GO:0031406,GO:0032153,GO:0033218,GO:0033293,GO:0036094,GO:0042221,GO:0042493,GO:0043167,GO:0043168,GO:0043177,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051301,GO:0071944,GO:0097159,GO:1901363,GO:1901681",TM7x_01195
TM7x_01200,0.26,4.37E-01,no,-0.05,9.98E-01,no,0.20,5.36E-01,no,0.06,9.44E-01,no,0.31,3.43E-01,no,TM7x_01200,222971,224008,forward,phospho-N-acetylmuramoyl-pentapeptide- transferase,K01000,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00244,AJA06385.1,phospho-N-acetylmuramoyl-pentapeptide- transferase,fig|1476577.3.peg.221,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),,First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan,mraY,2.7.8.13,K01000,"ko00550,ko01100,ko01502,map00550,map01100,map01502",,"R05629,R05630","RC00002,RC02753",M: Cell wall/membrane/envelop biogenesis,"GO:0000270,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008963,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016020,GO:0016740,GO:0016772,GO:0016780,GO:0030203,GO:0034645,GO:0040007,GO:0042546,GO:0042802,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044464,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576",TM7x_01200
TM7x_01205,0.52,2.48E-02,recovery,-0.05,9.98E-01,no,0.47,3.84E-02,no,0.08,7.81E-01,no,0.60,1.22E-02,recovery,TM7x_01205,224064,225293,forward,hypothetical protein,K03588,D: Cell cycle control and mitosis,,TM7x001_00245,AJA06769.1,hypothetical protein,fig|1476577.3.peg.222,Rod shape-determining protein RodA,,Belongs to the SEDS family,ftsW,,K03588,"ko04112,map04112",,,,D: Cell cycle control and mitosis,,TM7x_01205
